,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,Sentiment_Class
4202,14.0,2698.0,4937.0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,recent purchas canon powershot g3 extrem satisfi purchas,"['powershot', 'canon']",1.0,{'satisfi'},set(),['satisfied purchase'],1.0
4203,14.0,2698.0,4938.0,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .",camera veri easi use fact recent trip past week ask pictur vacat elder group,"['use', 'trips', 'pictures', 'camera']",1.0,"{'easi', 'past', 'elder', 'recent'}",{'recent'},['recent trip'],1.0
4206,14.0,2698.0,4941.0,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .,fire away pictur turn quit nice pictur thusfar,['pictures'],1.0,set(),set(),[],-1.0
4207,14.0,2698.0,4942.0,a few of my work constituants owned the g2 and highly recommended the canon for picture quality .,work constitu g2 high recommend canon pictur qualiti,"['pictures quality', 'canon pictures', 'work', 'quality', 'pictures', 'canon']",1.0,{'few'},set(),[],1.0
4208,14.0,2698.0,4943.0,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) .,m easili enlarg pictur 1/2 x not_vis loss pictur qualiti not_even use best possibl set super fine,"['pictures quality', 'use', 'settings', 'quality', 'pictures']",1.0,"{'possibl', 'best', 'not_vis', 'fine'}",set(),[],1.0
4210,14.0,2698.0,4945.0,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices .",line camera easi use veri flexibl power featur includ abil use extern flash lens filter choic,"['use', 'feature', 'choice', 'camera', 'ability']",1.0,"{'extern', 'power', 'easi', 'flexibl', 'bottom'}",set(),['flexible features'],1.0
4211,14.0,2698.0,4946.0,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like .,high recommend camera anyon look excel qualiti pictur combin eas use flexibl advanc mani option adjust like,"['pictures quality', 'use', 'quality', 'pictures', 'options', 'camera']",1.0,"{'mani', 'advanc', 'excel'}",set(),"['excellent pictures', 'advanced options']",1.0
4214,14.0,2699.0,4949.0,"this is my first digital camera , and what a ' toy ' it is !",digit camera toy,['camera'],1.0,"{'digit', 'first'}","{'first', 'digital'}",['digital toy'],1.0
4216,14.0,2699.0,4951.0,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .",littl overview powershot g3 flagship canon powershot seri slr like camera megapixel alsmost manual control pictur touch brillianc,"['canon pictures', 'slr', 'powershot', 'pictures', 'megapixel', 'control', 'canon', 'camera']",1.0,"{'full', 'manual', 'like', 'littl'}","{'full', 'manual', 'like'}","['manual control', 'little overview']",1.0
4217,14.0,2699.0,4952.0,"whether you are a novice or an expert , its ease of use and functionality goes together .",novic expert eas use function goe togeth,"['use', 'functionality']",1.0,set(),set(),[],1.0
4223,14.0,2699.0,4958.0,* main dial is not backlit .,main dial not_backlit,[],-1.0,{'main'},set(),[],-1.0
4224,14.0,2699.0,4959.0,* lens visible in optical viewfinder .,len visibl optic viewfind,"['lens viewfinder', 'viewfinder', 'lens']",-1.0,"{'visibl', 'optic'}",set(),[],-1.0
4226,14.0,2699.0,4961.0,overall i 'm happy with my toy .,overal m happi toy,[],1.0,{'happi'},set(),[],1.0
